update_id,task_id,project_id,update_date,planned_pct_complete,actual_pct_complete,actual_start_date,actual_finish_date,status_flag,delay_reason_code,remarks,progress_variance,progress_velocity,days_since_start,is_completed,is_delayed
1,10001,1,2022-09-12,0.00,12.00,2022-09-12,NULL,Blocked,"Labour Shortage",,12.00,NULL,0,0,0
2,10001,1,2022-09-19,3.00,16.00,2022-09-12,NULL,Blocked,None,,13.00,5.333,7,0,0
3,10001,1,2022-09-26,6.00,23.00,2022-09-12,NULL,"In Progress",None,,17.00,3.833,14,0,0
4,10001,1,2022-10-03,10.00,32.00,2022-09-12,NULL,Blocked,"Weather Impact",,22.00,3.200,21,0,0
5,10001,1,2022-10-10,13.00,35.00,2022-09-12,NULL,Blocked,"Material Delay",,22.00,2.692,28,0,0
6,10001,1,2022-10-17,17.00,37.00,2022-09-12,NULL,Blocked,"Material Delay",,20.00,2.176,35,0,0
7,10001,1,2022-10-24,20.00,45.00,2022-09-12,NULL,Blocked,"Labour Shortage",,25.00,2.250,42,0,0
8,10001,1,2022-10-31,24.00,51.00,2022-09-12,NULL,"In Progress",None,,27.00,2.125,49,0,0
9,10001,1,2022-11-07,27.00,55.00,2022-09-12,NULL,"In Progress","Material Delay",,28.00,2.037,56,0,0
10,10001,1,2022-11-14,31.00,61.00,2022-09-12,NULL,"In Progress","Approval Pending",,30.00,1.968,63,0,0
11,10001,1,2022-11-21,34.00,69.00,2022-09-12,NULL,"In Progress",None,,35.00,2.029,70,0,0
12,10001,1,2022-11-28,37.00,76.00,2022-09-12,NULL,Blocked,"Material Delay",,39.00,2.054,77,0,0
13,10001,1,2022-12-05,41.00,86.00,2022-09-12,NULL,"In Progress","Approval Pending",,45.00,2.098,84,0,0
14,10001,1,2022-12-12,44.00,98.00,2022-09-12,NULL,Blocked,"Approval Pending",,54.00,2.227,91,0,0
15,10001,1,2022-12-19,48.00,100.00,2022-09-12,2022-12-19,Completed,"Approval Pending",,52.00,2.083,98,1,0
16,10001,1,2022-12-26,51.00,100.00,2022-09-12,2022-12-26,Completed,"Weather Impact",,49.00,1.961,105,1,0
17,10001,1,2023-01-02,55.00,100.00,2022-09-12,2023-01-02,Completed,"Material Delay",,45.00,1.818,112,1,0
18,10001,1,2023-01-09,58.00,100.00,2022-09-12,2023-01-09,Completed,"Weather Impact",,42.00,1.724,119,1,0
19,10001,1,2023-01-16,62.00,100.00,2022-09-12,2023-01-16,Completed,"Material Delay",,38.00,1.613,126,1,0
20,10001,1,2023-01-23,65.00,100.00,2022-09-12,2023-01-23,Completed,None,,35.00,1.538,133,1,0
21,10001,1,2023-01-30,68.00,100.00,2022-09-12,2023-01-30,Completed,"Material Delay",,32.00,1.471,140,1,0
22,10001,1,2023-02-06,72.00,100.00,2022-09-12,2023-02-06,Completed,"Approval Pending",,28.00,1.389,147,1,0
23,10001,1,2023-02-13,75.00,100.00,2022-09-12,2023-02-13,Completed,"Approval Pending",,25.00,1.333,154,1,0
24,10001,1,2023-02-20,79.00,100.00,2022-09-12,2023-02-20,Completed,None,,21.00,1.266,161,1,0
25,10001,1,2023-02-27,82.00,100.00,2022-09-12,2023-02-27,Completed,"Approval Pending",,18.00,1.220,168,1,0
26,10001,1,2023-03-06,86.00,100.00,2022-09-12,2023-03-06,Completed,None,,14.00,1.163,175,1,0
27,10001,1,2023-03-13,89.00,100.00,2022-09-12,2023-03-13,Completed,"Labour Shortage",,11.00,1.124,182,1,0
28,10001,1,2023-03-20,93.00,100.00,2022-09-12,2023-03-20,Completed,None,,7.00,1.075,189,1,0
29,10001,1,2023-03-27,96.00,100.00,2022-09-12,2023-03-27,Completed,"Labour Shortage",,4.00,1.042,196,1,0
30,10002,1,2024-03-10,0.00,6.00,2024-03-10,NULL,"In Progress","Material Delay",,6.00,NULL,0,0,0
31,10002,1,2024-03-17,9.00,6.00,2024-03-10,NULL,"In Progress","Approval Pending",,-3.00,0.667,7,0,1
32,10002,1,2024-03-24,18.00,15.00,2024-03-10,NULL,Blocked,"Approval Pending",,-3.00,0.833,14,0,1
33,10002,1,2024-03-31,27.00,22.00,2024-03-10,NULL,Blocked,"Approval Pending",,-5.00,0.815,21,0,1
34,10002,1,2024-04-07,36.00,26.00,2024-03-10,NULL,"In Progress",None,,-10.00,0.722,28,0,1
35,10002,1,2024-04-14,45.00,34.00,2024-03-10,NULL,Blocked,None,,-11.00,0.756,35,0,1
