project_id,task_id,task_name,task_category,critical_flag,actual_pct_complete,status_flag,delay_reason_code,risk_level
1,10001,"Footing Reinforcement Fixing",Structural,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10002,"Backfilling and Compaction",Civil,Y,70,"In Progress","Weather Impact","Medium Risk"
1,10003,"Internal Plastering",Finishing,Y,92,Blocked,None,"Critical Risk"
1,10004,"Underground Drainage",Plumbing,Y,100,Completed,"Approval Pending","Medium Risk"
1,10007,"Excavation for Foundations",Civil,Y,37,"In Progress","Material Delay","High Risk"
1,10008,"Slab Shuttering and Pouring",Structural,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10012,"Site Clearing and Grading",Civil,Y,45,"In Progress","Weather Impact","High Risk"
1,10014,"Beam Reinforcement Installation",Structural,Y,100,Completed,"Weather Impact","Medium Risk"
1,10015,"Backfilling and Compaction",Civil,Y,100,Completed,"Weather Impact","Medium Risk"
1,10017,"Panel Installation",Electrical,Y,76,"In Progress","Labour Shortage","Medium Risk"
1,10018,"Excavation for Foundations",Civil,Y,76,"In Progress","Weather Impact","Medium Risk"
1,10019,"Underground Drainage",Plumbing,Y,100,Completed,"Material Delay","Medium Risk"
1,10020,"Excavation for Foundations",Civil,Y,73,"In Progress","Approval Pending","Medium Risk"
1,10021,"Water Supply Line Installation",Plumbing,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10022,"Column Casting",Structural,Y,53,Blocked,"Weather Impact","Critical Risk"
1,10024,"Painting and Polishing",Finishing,Y,100,Completed,None,"Medium Risk"
1,10027,"Water Supply Line Installation",Plumbing,Y,54,"In Progress","Approval Pending","Medium Risk"
1,10030,"Panel Installation",Electrical,Y,100,Completed,"Labour Shortage","Medium Risk"
1,10031,"Painting and Polishing",Finishing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10032,"Painting and Polishing",Finishing,Y,100,Completed,None,"Medium Risk"
1,10033,"Conduit Laying",Electrical,Y,100,Completed,"Approval Pending","Medium Risk"
1,10034,"Conduit Laying",Electrical,Y,100,Completed,"Material Delay","Medium Risk"
1,10035,"Water Supply Line Installation",Plumbing,Y,100,Completed,"Weather Impact","Medium Risk"
1,10038,"Internal Plastering",Finishing,Y,100,Completed,"Material Delay","Medium Risk"
1,10041,"Floor Tiling",Finishing,Y,86,Blocked,None,"Critical Risk"
1,10042,"Internal Plastering",Finishing,Y,100,Completed,None,"Medium Risk"
1,10044,"Excavation for Foundations",Civil,Y,100,Completed,None,"Medium Risk"
