issue_id,project_id,task_id,issue_type,severity,reported_date,approval_delay_days,issue_status,is_open,severity_score
1,22,14459,NCR,High,2022-08-20,21,Closed,0,3
2,27,15492,Safety,High,2022-05-18,21,Closed,0,3
3,22,14477,NCR,High,2023-05-24,8,Closed,0,3
4,13,12640,Safety,High,2023-03-20,17,Closed,0,3
5,9,11748,Safety,Medium,2023-01-21,20,Open,1,2
6,18,13595,NCR,Low,2024-02-16,13,Closed,0,1
7,7,11324,NCR,High,2023-05-01,4,Open,1,3
8,7,11366,Safety,Medium,2023-03-04,23,Open,1,2
9,28,15611,RFI,Medium,2022-06-22,15,Open,1,2
10,5,11043,NCR,Medium,2023-02-26,21,Open,1,2
11,8,11678,NCR,High,2022-12-15,12,Closed,0,3
12,7,11311,Safety,Low,2022-07-28,3,Closed,0,1
13,15,12969,NCR,Medium,2022-03-18,17,Closed,0,2
14,25,14983,RFI,High,2023-11-13,17,Open,1,3
15,24,14781,Safety,Low,2023-04-03,12,Closed,0,1
16,22,14561,RFI,Medium,2022-10-03,12,Open,1,2
17,19,13921,Safety,Medium,2023-01-03,10,Open,1,2
18,7,11423,RFI,Medium,2024-02-24,24,Open,1,2
19,1,10057,RFI,Medium,2023-05-02,21,Closed,0,2
20,3,10453,Safety,Medium,2022-08-14,22,Closed,0,2
21,1,10195,RFI,Low,2023-09-06,2,Open,1,1
22,14,12748,RFI,Low,2023-01-03,24,Open,1,1
23,2,10245,RFI,Low,2023-12-01,8,Closed,0,1
24,19,13939,Safety,Low,2024-01-04,3,Open,1,1
25,28,15656,Safety,Low,2023-06-01,18,Open,1,1
26,9,11874,NCR,Medium,2022-11-04,19,Closed,0,2
27,2,10290,RFI,Medium,2022-05-25,12,Closed,0,2
28,21,14218,RFI,Medium,2023-06-27,13,Closed,0,2
29,22,14436,NCR,Low,2022-09-05,1,Closed,0,1
30,21,14185,Safety,Medium,2023-06-10,11,Closed,0,2
31,13,12662,RFI,Medium,2022-08-02,0,Open,1,2
32,17,13493,NCR,High,2022-09-25,20,Open,1,3
33,18,13688,RFI,Low,2023-06-24,10,Open,1,1
34,6,11283,Safety,Medium,2024-02-22,15,Closed,0,2
35,8,11683,NCR,Medium,2023-05-16,23,Open,1,2
36,9,11789,RFI,High,2023-08-07,9,Open,1,3
37,5,10876,RFI,Medium,2023-07-02,8,Closed,0,2
38,24,14797,RFI,Low,2022-09-21,4,Closed,0,1
39,2,10247,Safety,Low,2023-02-14,20,Open,1,1
40,20,14135,Safety,High,2022-10-17,12,Closed,0,3
41,18,13577,NCR,Low,2023-08-12,19,Open,1,1
42,1,10055,NCR,High,2022-12-17,3,Open,1,3
43,23,14609,Safety,Low,2023-05-10,13,Open,1,1
44,5,11052,NCR,Medium,2022-09-23,18,Closed,0,2
45,22,14399,Safety,Low,2023-03-28,17,Closed,0,1
46,20,14104,Safety,High,2024-08-26,18,Closed,0,3
47,27,15503,NCR,High,2023-05-12,23,Closed,0,3
48,20,14131,RFI,Medium,2024-05-12,23,Closed,0,2
49,6,11119,NCR,Medium,2022-09-02,20,Open,1,2
50,21,14304,Safety,Medium,2023-05-28,9,Closed,0,2
51,14,12747,RFI,Low,2024-02-15,5,Open,1,1
52,12,12523,Safety,High,2022-12-02,7,Open,1,3
53,23,14585,Safety,High,2023-01-03,19,Open,1,3
54,20,14009,RFI,Medium,2024-03-19,4,Open,1,2
55,4,10666,NCR,Medium,2023-01-06,18,Open,1,2
56,16,13216,Safety,Medium,2023-02-01,22,Closed,0,2
57,20,13982,NCR,Low,2024-07-30,21,Closed,0,1
58,15,13088,NCR,Medium,2023-11-17,21,Open,1,2
59,22,14485,NCR,Medium,2023-03-10,19,Closed,0,2
60,19,13864,RFI,Medium,2022-05-11,5,Open,1,2
61,1,10118,NCR,High,2022-12-28,2,Closed,0,3
62,20,14168,RFI,High,2023-05-24,23,Open,1,3
63,9,11837,Safety,Medium,2023-02-24,24,Closed,0,2
64,8,11641,RFI,Medium,2023-11-28,7,Open,1,2
65,24,14966,RFI,Medium,2023-12-27,1,Closed,0,2
66,7,11375,NCR,High,2022-12-26,22,Open,1,3
67,26,15322,Safety,Low,2022-08-02,19,Open,1,1
68,4,10832,NCR,Medium,2023-08-26,9,Closed,0,2
69,6,11196,RFI,High,2022-07-29,18,Closed,0,3
70,16,13139,Safety,High,2022-11-12,14,Open,1,3
71,20,14063,RFI,High,2024-07-03,15,Closed,0,3
72,18,13635,RFI,Medium,2022-08-06,5,Closed,0,2
73,6,11158,RFI,Medium,2023-06-12,16,Open,1,2
74,1,10162,NCR,High,2023-09-06,20,Closed,0,3
75,22,14550,Safety,Low,2022-11-13,6,Open,1,1
76,24,14865,Safety,High,2023-04-14,9,Open,1,3
77,17,13357,RFI,Medium,2022-05-28,8,Open,1,2
78,3,10471,NCR,Low,2023-04-05,14,Closed,0,1
79,9,11764,Safety,High,2023-05-04,19,Open,1,3
80,15,12944,RFI,Low,2023-10-12,7,Open,1,1
81,23,14597,Safety,Low,2023-07-19,8,Closed,0,1
82,28,15713,NCR,Medium,2023-08-23,19,Closed,0,2
83,21,14333,Safety,Medium,2023-05-25,22,Closed,0,2
84,20,14105,Safety,Medium,2022-11-04,22,Closed,0,2
85,26,15370,RFI,High,2022-01-17,24,Open,1,3
86,6,11219,Safety,Low,2023-02-09,18,Closed,0,1
87,13,12585,NCR,Low,2022-06-30,10,Closed,0,1
88,25,15141,Safety,Medium,2023-11-01,16,Closed,0,2
89,24,14765,Safety,High,2024-01-16,22,Closed,0,3
90,28,15622,NCR,Medium,2023-06-03,2,Closed,0,2
91,20,13972,NCR,Low,2024-01-15,6,Closed,0,1
92,13,12671,RFI,Medium,2023-02-06,16,Open,1,2
93,23,14670,Safety,Medium,2022-09-16,23,Closed,0,2
94,23,14638,Safety,Medium,2022-12-17,17,Open,1,2
95,3,10532,RFI,Medium,2023-12-22,15,Closed,0,2
96,6,11217,RFI,High,2023-03-29,22,Open,1,3
97,22,14520,RFI,High,2022-09-01,12,Open,1,3
98,27,15538,RFI,Low,2022-10-22,7,Open,1,1
99,22,14474,NCR,High,2022-12-09,19,Closed,0,3
100,12,12526,NCR,High,2024-05-08,10,Closed,0,3
