project_id,project_name,project_type,client_type,state,city,contractor_name,consultant_name,current_project_status,actual_delay_days,delay_percentage,contract_duration_days,project_value_cr,total_tasks,critical_tasks_count,avg_completion_pct,avg_progress_velocity,blocked_tasks_count,completed_tasks_count,in_progress_tasks_count,material_delay_count,labour_shortage_count,weather_impact_count,approval_pending_count,total_issues,high_severity_issues,open_issues,avg_approval_delay_days,ncr_count,rfi_count,safety_count,work_stop_days,severe_weather_days,avg_rainfall,critical_dependencies,risk_score,risk_category
1,"Greenfield Residential Complex â€“ Noida",Residential,Private,"Uttar Pradesh",Noida,"L&T Construction","Lloyd Insulations","On Track",12,1.44,833,489.57,216,112,92.07,0.972,31,151,34,1049,978,968,968,66,19,29,12.61,17,26,23,75,75,69.88,61,43.00,"Medium Risk"
2,"Greenfield Residential Complex â€“ Mumbai",Commercial,Government,Maharashtra,Mumbai,"HCC Ltd","Lloyd Insulations","On Track",70,9.80,714,555.46,187,98,94.51,0.996,30,139,18,876,940,840,916,41,9,21,12.10,12,14,15,61,61,67.39,50,64.50,"High Risk"
3,"River Bridge Construction â€“ Chennai",Residential,Government,"Tamil Nadu",Chennai,"Tata Projects","TCE Consulting",Delayed,5,0.63,799,703.46,238,129,94.65,0.998,30,183,25,1165,1153,1058,1163,63,22,30,15.43,24,25,14,75,75,70.30,71,46.00,"Medium Risk"
4,"Metro Rail Corridor Phase â€“ Ahmedabad",Commercial,Government,Gujarat,Ahmedabad,"Tata Projects","TCE Consulting","On Track",74,11.26,657,719.75,229,127,92.45,0.974,35,163,31,1114,1092,1131,1141,69,12,37,12.64,22,21,26,73,73,71.30,88,78.00,"High Risk"
5,"River Bridge Construction â€“ Bengaluru",Metro,PSU,Karnataka,Bengaluru,"IRB Infrastructure","STUP Consultants",Delayed,99,16.36,605,431.84,199,96,94.05,0.991,15,150,34,969,941,966,956,58,25,36,12.26,16,18,24,56,56,67.59,52,55.50,"Medium Risk"
6,"Urban Commercial Tower â€“ Hyderabad",Residential,Private,Telangana,Hyderabad,"Shapoorji Pallonji","STUP Consultants",Delayed,38,4.43,857,668.22,233,126,93.37,0.985,34,170,29,1167,1112,1110,1100,70,22,27,13.01,20,25,25,80,80,69.62,69,64.00,"High Risk"
7,"Urban Commercial Tower â€“ Bengaluru",Highway,Government,Karnataka,Bengaluru,"L&T Construction","AECOM India",Critical,119,16.67,714,627.64,189,93,94.48,0.995,29,140,20,861,926,890,963,49,17,30,12.84,9,19,21,62,62,70.34,54,85.00,"High Risk"
8,"Metro Rail Corridor Phase â€“ Lucknow",Bridge,Private,"Uttar Pradesh",Lucknow,"HCC Ltd","AECOM India",Delayed,102,15.02,679,590.95,233,117,93.84,0.990,30,177,26,1133,1115,1113,1056,69,28,40,12.57,19,24,26,54,54,69.62,69,75.00,"High Risk"
9,"State Highway Expansion â€“ Jaipur",Metro,Private,Rajasthan,Jaipur,"Simplex Infrastructures","STUP Consultants",Critical,105,12.01,874,579.12,169,102,95.54,1.005,20,133,16,852,832,859,855,48,13,27,12.04,13,15,20,76,76,69.95,44,70.00,"High Risk"
10,"Urban Commercial Tower â€“ Noida",Metro,Government,"Uttar Pradesh",Noida,"HCC Ltd","TCE Consulting","On Track",63,9.25,681,146.03,229,113,92.73,0.978,37,163,29,1084,1072,1086,1104,55,21,28,10.71,23,16,16,68,68,71.16,67,62.00,"High Risk"
11,"Greenfield Residential Complex â€“ Coimbatore",Commercial,PSU,"Tamil Nadu",Coimbatore,"Tata Projects","STUP Consultants",Critical,51,6.76,754,695.37,217,95,93.41,0.986,25,155,37,984,1017,993,1002,56,17,31,13.46,20,18,18,74,74,68.88,63,47.00,"Medium Risk"
12,"River Bridge Construction â€“ Hyderabad",Commercial,Government,Telangana,Hyderabad,"Tata Projects","Jacobs Engineering","On Track",10,1.18,849,277.36,190,105,94.32,0.994,23,145,22,891,844,901,863,54,18,33,11.67,16,15,23,80,80,68.90,47,46.00,"Medium Risk"
13,"Greenfield Residential Complex â€“ Jaipur",Commercial,PSU,Rajasthan,Jaipur,"IRB Infrastructure","TCE Consulting","On Track",68,10.56,644,493.56,209,99,93.06,0.980,26,152,31,1076,1025,986,978,62,27,22,11.27,16,25,21,56,56,67.07,59,46.50,"Medium Risk"
14,"Metro Rail Corridor Phase â€“ Pune",Bridge,PSU,Maharashtra,Pune,"Afcons Infrastructure","STUP Consultants","On Track",51,6.01,848,521.41,200,96,94.48,0.993,25,152,23,992,1038,1013,963,51,13,31,11.02,15,20,16,77,77,69.15,63,53.00,"Medium Risk"
15,"Urban Commercial Tower â€“ Chennai",Residential,PSU,"Tamil Nadu",Chennai,"L&T Construction","Lloyd Insulations","On Track",76,10.48,725,138.88,182,95,94.59,0.997,23,136,23,954,831,847,807,52,21,30,12.38,17,24,11,74,74,68.97,47,72.00,"High Risk"
16,"Greenfield Residential Complex â€“ Mysuru",Commercial,Private,Karnataka,Mysuru,"Shapoorji Pallonji","TCE Consulting",Critical,48,9.36,513,246.38,215,111,93.27,0.985,30,154,31,981,980,996,933,56,18,28,11.68,14,17,25,50,50,73.21,52,46.00,"Medium Risk"
17,"River Bridge Construction â€“ Lucknow",Bridge,PSU,"Uttar Pradesh",Lucknow,"Tata Projects","AECOM India",Critical,61,10.91,559,429.27,165,89,94.72,0.997,15,129,21,863,797,804,763,58,21,23,13.16,19,17,22,54,54,68.57,47,32.00,"Low Risk"
18,"Urban Commercial Tower â€“ Lucknow",Metro,Government,"Uttar Pradesh",Lucknow,"IRB Infrastructure","TCE Consulting","On Track",26,3.04,854,1145.10,235,117,94.95,1.000,22,179,34,1125,1207,1069,1090,70,22,33,11.71,24,19,27,80,80,71.37,59,46.00,"Medium Risk"
19,"Greenfield Residential Complex â€“ Nagpur",Highway,Private,Maharashtra,Nagpur,"Shapoorji Pallonji","Jacobs Engineering",Critical,46,5.55,829,1097.25,230,105,93.58,0.986,29,170,31,1078,1153,1080,1145,54,23,32,11.22,17,14,23,92,92,70.62,56,68.00,"High Risk"
20,"Urban Commercial Tower â€“ Noida",Commercial,PSU,"Uttar Pradesh",Noida,"Tata Projects","Lloyd Insulations",Delayed,94,10.59,888,979.73,214,109,95.30,1.003,25,169,20,1032,1031,1098,1028,55,21,22,12.56,20,20,15,77,77,71.44,58,50.50,"Medium Risk"
21,"River Bridge Construction â€“ Noida",Highway,Government,"Uttar Pradesh",Noida,"Shapoorji Pallonji","STUP Consultants",Critical,88,13.69,643,757.76,196,103,94.47,0.994,26,150,20,964,958,957,916,52,12,25,12.62,12,23,17,84,84,70.41,59,73.00,"High Risk"
22,"Greenfield Residential Complex â€“ Lucknow",Commercial,PSU,"Uttar Pradesh",Lucknow,"Afcons Infrastructure","Lloyd Insulations",Critical,25,4.08,612,458.27,203,113,95.77,1.005,12,170,21,1076,1094,1030,1052,63,21,27,11.48,20,20,23,65,65,68.36,53,23.50,"Low Risk"
23,"Greenfield Residential Complex â€“ Pune",Residential,PSU,Maharashtra,Pune,"Tata Projects","STUP Consultants","On Track",100,14.79,676,876.87,178,97,94.68,0.996,21,138,19,872,920,877,856,53,14,31,13.57,20,19,14,56,56,69.18,40,57.00,"Medium Risk"
24,"River Bridge Construction â€“ New Delhi",Bridge,PSU,Delhi,"New Delhi","Simplex Infrastructures","Jacobs Engineering","On Track",95,10.93,869,1140.41,221,106,92.69,0.978,40,153,28,1075,1000,1054,989,67,23,33,11.42,21,25,21,84,84,68.82,59,90.00,"High Risk"
25,"River Bridge Construction â€“ Ahmedabad",Commercial,Private,Gujarat,Ahmedabad,"Afcons Infrastructure","TCE Consulting","On Track",105,13.09,802,747.37,218,107,94.17,0.993,26,166,26,1008,1002,1061,1067,63,25,27,11.03,22,23,18,88,88,71.49,63,76.00,"High Risk"
