dependency_id,project_id,predecessor_task_id,successor_task_id,dependency_type,lag_days,critical_dependency_flag
1,22,15620,14459,FS,5,N
2,27,14295,15492,FS,5,Y
3,22,11941,14477,SS,5,N
4,13,11893,12640,FF,0,Y
5,9,10210,11748,SS,5,N
6,18,12456,13595,FS,1,Y
7,7,14858,11324,FS,2,N
8,7,13589,11366,SS,3,N
9,28,15346,15611,FF,4,Y
10,5,12400,11043,FS,3,N
11,8,13330,11678,FF,4,Y
12,7,15547,11311,SS,0,Y
13,15,12765,12969,FF,2,Y
14,25,12873,14983,SS,5,Y
15,24,14748,14781,SS,3,N
16,22,14876,14561,SS,1,N
17,19,15532,13921,SS,4,N
18,7,13638,11423,FS,3,Y
19,1,13593,10057,SS,4,Y
20,3,14688,10453,FF,1,N
21,1,10400,10195,FS,1,N
22,14,10468,12748,SS,2,Y
23,2,14580,10245,SS,0,N
24,19,12665,13939,SS,2,N
25,28,13852,15656,FF,0,Y
26,9,11735,11874,SS,0,Y
27,2,10540,10290,FF,2,Y
28,21,11081,14218,FS,2,Y
29,22,14999,14436,SS,2,Y
30,21,15626,14185,FS,5,Y
31,13,12357,12662,FS,5,N
32,17,13763,13493,SS,3,N
33,18,14029,13688,FS,3,N
34,6,15361,11283,SS,0,Y
35,8,11989,11683,SS,0,Y
36,9,10824,11789,FS,5,N
37,5,11588,10876,FF,2,N
38,24,14195,14797,SS,4,Y
39,2,12179,10247,FF,0,Y
40,20,12405,14135,FS,0,N
41,18,14495,13577,FS,3,Y
42,1,11991,10055,SS,2,Y
43,23,15448,14609,FF,0,Y
44,5,11900,11052,SS,3,Y
45,22,14225,14399,FF,1,Y
46,20,10672,14104,SS,4,N
47,27,14390,15503,FS,1,N
48,20,14050,14131,FS,2,Y
49,6,12093,11119,FS,3,N
50,21,10294,14304,FF,5,Y
51,14,11254,12747,FF,5,N
52,12,11858,12523,SS,4,Y
53,23,11407,14585,SS,0,N
54,20,14272,14009,SS,4,N
55,4,15280,10666,SS,1,Y
56,16,14834,13216,SS,5,N
57,20,10172,13982,FS,1,N
58,15,12723,13088,FS,0,N
59,22,10622,14485,FF,3,Y
60,19,14846,13864,FF,1,Y
61,1,15217,10118,FF,2,Y
62,20,10329,14168,FS,1,N
63,9,12065,11837,SS,3,N
64,8,13638,11641,FS,1,Y
