issue_id,project_id,task_id,issue_type,severity,reported_date,resolved_date,approval_delay_days,issue_status
1,22,14459,NCR,High,2022-08-20,,21,Closed
2,27,15492,Safety,High,2022-05-18,,21,Closed
3,22,14477,NCR,High,2023-05-24,,8,Closed
4,13,12640,Safety,High,2023-03-20,,17,Closed
5,9,11748,Safety,Medium,2023-01-21,,20,Open
6,18,13595,NCR,Low,2024-02-16,,13,Closed
7,7,11324,NCR,High,2023-05-01,,4,Open
8,7,11366,Safety,Medium,2023-03-04,,23,Open
9,28,15611,RFI,Medium,2022-06-22,,15,Open
10,5,11043,NCR,Medium,2023-02-26,,21,Open
11,8,11678,NCR,High,2022-12-15,,12,Closed
12,7,11311,Safety,Low,2022-07-28,,3,Closed
13,15,12969,NCR,Medium,2022-03-18,,17,Closed
14,25,14983,RFI,High,2023-11-13,,17,Open
15,24,14781,Safety,Low,2023-04-03,,12,Closed
16,22,14561,RFI,Medium,2022-10-03,,12,Open
17,19,13921,Safety,Medium,2023-01-03,,10,Open
18,7,11423,RFI,Medium,2024-02-24,,24,Open
19,1,10057,RFI,Medium,2023-05-02,,21,Closed
20,3,10453,Safety,Medium,2022-08-14,,22,Closed
21,1,10195,RFI,Low,2023-09-06,,2,Open
22,14,12748,RFI,Low,2023-01-03,,24,Open
23,2,10245,RFI,Low,2023-12-01,,8,Closed
24,19,13939,Safety,Low,2024-01-04,,3,Open
25,28,15656,Safety,Low,2023-06-01,,18,Open
26,9,11874,NCR,Medium,2022-11-04,,19,Closed
27,2,10290,RFI,Medium,2022-05-25,,12,Closed
28,21,14218,RFI,Medium,2023-06-27,,13,Closed
29,22,14436,NCR,Low,2022-09-05,,1,Closed
30,21,14185,Safety,Medium,2023-06-10,,11,Closed
31,13,12662,RFI,Medium,2022-08-02,,0,Open
32,17,13493,NCR,High,2022-09-25,,20,Open
33,18,13688,RFI,Low,2023-06-24,,10,Open
34,6,11283,Safety,Medium,2024-02-22,,15,Closed
35,8,11683,NCR,Medium,2023-05-16,,23,Open
36,9,11789,RFI,High,2023-08-07,,9,Open
37,5,10876,RFI,Medium,2023-07-02,,8,Closed
38,24,14797,RFI,Low,2022-09-21,,4,Closed
