project_id,project_name,contractor_name,current_project_status,risk_score,risk_category,actual_delay_days,risk_indicator
24,"River Bridge Construction â€“ New Delhi","Simplex Infrastructures","On Track",90.00,"High Risk",95,"🔴 HIGH RISK"
7,"Urban Commercial Tower â€“ Bengaluru","L&T Construction",Critical,85.00,"High Risk",119,"🔴 HIGH RISK"
4,"Metro Rail Corridor Phase â€“ Ahmedabad","Tata Projects","On Track",78.00,"High Risk",74,"🔴 HIGH RISK"
25,"River Bridge Construction â€“ Ahmedabad","Afcons Infrastructure","On Track",76.00,"High Risk",105,"🔴 HIGH RISK"
26,"Greenfield Residential Complex â€“ Ahmedabad","HCC Ltd","On Track",76.00,"High Risk",119,"🔴 HIGH RISK"
8,"Metro Rail Corridor Phase â€“ Lucknow","HCC Ltd",Delayed,75.00,"High Risk",102,"🔴 HIGH RISK"
21,"River Bridge Construction â€“ Noida","Shapoorji Pallonji",Critical,73.00,"High Risk",88,"🔴 HIGH RISK"
15,"Urban Commercial Tower â€“ Chennai","L&T Construction","On Track",72.00,"High Risk",76,"🔴 HIGH RISK"
9,"State Highway Expansion â€“ Jaipur","Simplex Infrastructures",Critical,70.00,"High Risk",105,"🔴 HIGH RISK"
19,"Greenfield Residential Complex â€“ Nagpur","Shapoorji Pallonji",Critical,68.00,"High Risk",46,"🔴 HIGH RISK"
2,"Greenfield Residential Complex â€“ Mumbai","HCC Ltd","On Track",64.50,"High Risk",70,"🔴 HIGH RISK"
27,"Metro Rail Corridor Phase â€“ Pune","Afcons Infrastructure","On Track",64.50,"High Risk",41,"🔴 HIGH RISK"
6,"Urban Commercial Tower â€“ Hyderabad","Shapoorji Pallonji",Delayed,64.00,"High Risk",38,"🔴 HIGH RISK"
10,"Urban Commercial Tower â€“ Noida","HCC Ltd","On Track",62.00,"High Risk",63,"🔴 HIGH RISK"
23,"Greenfield Residential Complex â€“ Pune","Tata Projects","On Track",57.00,"Medium Risk",100,"🟡 MEDIUM RISK"
5,"River Bridge Construction â€“ Bengaluru","IRB Infrastructure",Delayed,55.50,"Medium Risk",99,"🟡 MEDIUM RISK"
14,"Metro Rail Corridor Phase â€“ Pune","Afcons Infrastructure","On Track",53.00,"Medium Risk",51,"🟡 MEDIUM RISK"
20,"Urban Commercial Tower â€“ Noida","Tata Projects",Delayed,50.50,"Medium Risk",94,"🟡 MEDIUM RISK"
11,"Greenfield Residential Complex â€“ Coimbatore","Tata Projects",Critical,47.00,"Medium Risk",51,"🟡 MEDIUM RISK"
13,"Greenfield Residential Complex â€“ Jaipur","IRB Infrastructure","On Track",46.50,"Medium Risk",68,"🟡 MEDIUM RISK"
3,"River Bridge Construction â€“ Chennai","Tata Projects",Delayed,46.00,"Medium Risk",5,"🟡 MEDIUM RISK"
12,"River Bridge Construction â€“ Hyderabad","Tata Projects","On Track",46.00,"Medium Risk",10,"🟡 MEDIUM RISK"
16,"Greenfield Residential Complex â€“ Mysuru","Shapoorji Pallonji",Critical,46.00,"Medium Risk",48,"🟡 MEDIUM RISK"
18,"Urban Commercial Tower â€“ Lucknow","IRB Infrastructure","On Track",46.00,"Medium Risk",26,"🟡 MEDIUM RISK"
1,"Greenfield Residential Complex â€“ Noida","L&T Construction","On Track",43.00,"Medium Risk",12,"🟡 MEDIUM RISK"
28,"Metro Rail Corridor Phase â€“ Lucknow","IRB Infrastructure","On Track",33.50,"Low Risk",16,"🟡 MEDIUM RISK"
17,"River Bridge Construction â€“ Lucknow","Tata Projects",Critical,32.00,"Low Risk",61,"🟡 MEDIUM RISK"
22,"Greenfield Residential Complex â€“ Lucknow","Afcons Infrastructure",Critical,23.50,"Low Risk",25,"🟢 LOW RISK"
