project_id,project_name,project_type,client_type,state,city,contractor_name,consultant_name,start_date,planned_end_date,revised_end_date,contract_duration_days,project_value_cr,current_project_status,actual_delay_days,actual_duration_days,delay_percentage
1,"Greenfield Residential Complex â€“ Noida",Residential,Private,"Uttar Pradesh",Noida,"L&T Construction","Lloyd Insulations",2022-04-12,2024-07-23,2024-08-04,833,489.57,"On Track",12,845,1.44
2,"Greenfield Residential Complex â€“ Mumbai",Commercial,Government,Maharashtra,Mumbai,"HCC Ltd","Lloyd Insulations",2022-04-22,2024-04-05,2024-06-14,714,555.46,"On Track",70,784,9.80
3,"River Bridge Construction â€“ Chennai",Residential,Government,"Tamil Nadu",Chennai,"Tata Projects","TCE Consulting",2022-05-28,2024-08-04,2024-08-09,799,703.46,Delayed,5,804,0.63
4,"Metro Rail Corridor Phase â€“ Ahmedabad",Commercial,Government,Gujarat,Ahmedabad,"Tata Projects","TCE Consulting",2022-05-27,2024-03-14,2024-05-27,657,719.75,"On Track",74,731,11.26
5,"River Bridge Construction â€“ Bengaluru",Metro,PSU,Karnataka,Bengaluru,"IRB Infrastructure","STUP Consultants",2022-06-08,2024-02-03,2024-05-12,605,431.84,Delayed,99,704,16.36
6,"Urban Commercial Tower â€“ Hyderabad",Residential,Private,Telangana,Hyderabad,"Shapoorji Pallonji","STUP Consultants",2022-02-16,2024-06-22,2024-07-30,857,668.22,Delayed,38,895,4.43
7,"Urban Commercial Tower â€“ Bengaluru",Highway,Government,Karnataka,Bengaluru,"L&T Construction","AECOM India",2022-05-12,2024-04-25,2024-08-22,714,627.64,Critical,119,833,16.67
8,"Metro Rail Corridor Phase â€“ Lucknow",Bridge,Private,"Uttar Pradesh",Lucknow,"HCC Ltd","AECOM India",2022-06-27,2024-05-06,2024-08-16,679,590.95,Delayed,102,781,15.02
9,"State Highway Expansion â€“ Jaipur",Metro,Private,Rajasthan,Jaipur,"Simplex Infrastructures","STUP Consultants",2022-01-16,2024-06-08,2024-09-21,874,579.12,Critical,105,979,12.01
10,"Urban Commercial Tower â€“ Noida",Metro,Government,"Uttar Pradesh",Noida,"HCC Ltd","TCE Consulting",2022-04-29,2024-03-10,2024-05-12,681,146.03,"On Track",63,744,9.25
11,"Greenfield Residential Complex â€“ Coimbatore",Commercial,PSU,"Tamil Nadu",Coimbatore,"Tata Projects","STUP Consultants",2022-04-11,2024-05-04,2024-06-24,754,695.37,Critical,51,805,6.76
12,"River Bridge Construction â€“ Hyderabad",Commercial,Government,Telangana,Hyderabad,"Tata Projects","Jacobs Engineering",2022-04-02,2024-07-29,2024-08-08,849,277.36,"On Track",10,859,1.18
13,"Greenfield Residential Complex â€“ Jaipur",Commercial,PSU,Rajasthan,Jaipur,"IRB Infrastructure","TCE Consulting",2022-03-09,2023-12-13,2024-02-19,644,493.56,"On Track",68,712,10.56
14,"Metro Rail Corridor Phase â€“ Pune",Bridge,PSU,Maharashtra,Pune,"Afcons Infrastructure","STUP Consultants",2022-07-19,2024-11-13,2025-01-03,848,521.41,"On Track",51,899,6.01
15,"Urban Commercial Tower â€“ Chennai",Residential,PSU,"Tamil Nadu",Chennai,"L&T Construction","Lloyd Insulations",2022-02-23,2024-02-18,2024-05-04,725,138.88,"On Track",76,801,10.48
16,"Greenfield Residential Complex â€“ Mysuru",Commercial,Private,Karnataka,Mysuru,"Shapoorji Pallonji","TCE Consulting",2022-06-07,2023-11-02,2023-12-20,513,246.38,Critical,48,561,9.36
17,"River Bridge Construction â€“ Lucknow",Bridge,PSU,"Uttar Pradesh",Lucknow,"Tata Projects","AECOM India",2022-02-01,2023-08-14,2023-10-14,559,429.27,Critical,61,620,10.91
18,"Urban Commercial Tower â€“ Lucknow",Metro,Government,"Uttar Pradesh",Lucknow,"IRB Infrastructure","TCE Consulting",2022-05-03,2024-09-03,2024-09-29,854,1145.10,"On Track",26,880,3.04
19,"Greenfield Residential Complex â€“ Nagpur",Highway,Private,Maharashtra,Nagpur,"Shapoorji Pallonji","Jacobs Engineering",2022-03-18,2024-06-24,2024-08-09,829,1097.25,Critical,46,875,5.55
20,"Urban Commercial Tower â€“ Noida",Commercial,PSU,"Uttar Pradesh",Noida,"Tata Projects","Lloyd Insulations",2022-06-06,2024-11-10,2025-02-12,888,979.73,Delayed,94,982,10.59
21,"River Bridge Construction â€“ Noida",Highway,Government,"Uttar Pradesh",Noida,"Shapoorji Pallonji","STUP Consultants",2022-01-08,2023-10-13,2024-01-09,643,757.76,Critical,88,731,13.69
22,"Greenfield Residential Complex â€“ Lucknow",Commercial,PSU,"Uttar Pradesh",Lucknow,"Afcons Infrastructure","Lloyd Insulations",2022-01-21,2023-09-25,2023-10-20,612,458.27,Critical,25,637,4.08
23,"Greenfield Residential Complex â€“ Pune",Residential,PSU,Maharashtra,Pune,"Tata Projects","STUP Consultants",2022-06-17,2024-04-23,2024-08-01,676,876.87,"On Track",100,776,14.79
24,"River Bridge Construction â€“ New Delhi",Bridge,PSU,Delhi,"New Delhi","Simplex Infrastructures","Jacobs Engineering",2022-01-23,2024-06-10,2024-09-13,869,1140.41,"On Track",95,964,10.93
25,"River Bridge Construction â€“ Ahmedabad",Commercial,Private,Gujarat,Ahmedabad,"Afcons Infrastructure","TCE Consulting",2022-02-08,2024-04-20,2024-08-03,802,747.37,"On Track",105,907,13.09
26,"Greenfield Residential Complex â€“ Ahmedabad",Metro,Private,Gujarat,Ahmedabad,"HCC Ltd","Jacobs Engineering",2022-01-04,2024-05-24,2024-09-20,871,235.96,"On Track",119,990,13.66
27,"Metro Rail Corridor Phase â€“ Pune",Commercial,Private,Maharashtra,Pune,"Afcons Infrastructure","Jacobs Engineering",2022-02-24,2023-12-05,2024-01-15,649,370.49,"On Track",41,690,6.32
28,"Metro Rail Corridor Phase â€“ Lucknow",Bridge,Private,"Uttar Pradesh",Lucknow,"IRB Infrastructure","Lloyd Insulations",2022-06-19,2024-08-25,2024-09-10,798,675.64,"On Track",16,814,2.01
