weather_id,project_id,date,rainfall_mm,temperature_c,weather_severity,work_stop_flag
1,1,2022-04-12,7,26,Normal,N
2,1,2022-04-13,72,30,Moderate,N
3,1,2022-04-14,17,25,Normal,N
4,1,2022-04-15,85,27,Moderate,N
5,1,2022-04-16,62,33,Normal,N
6,1,2022-04-17,82,43,Moderate,N
7,1,2022-04-18,88,38,Normal,N
8,1,2022-04-19,57,37,Normal,N
9,1,2022-04-20,79,41,Normal,N
10,1,2022-04-21,92,32,Moderate,N
11,1,2022-04-22,85,40,Normal,N
12,1,2022-04-23,54,37,Normal,N
13,1,2022-04-24,127,42,Normal,N
14,1,2022-04-25,89,26,Normal,N
15,1,2022-04-26,92,24,Normal,N
16,1,2022-04-27,47,26,Normal,N
17,1,2022-04-28,87,32,Normal,N
18,1,2022-04-29,1,29,Normal,N
19,1,2022-04-30,81,29,Normal,N
20,1,2022-05-01,97,32,Normal,N
21,1,2022-05-02,21,34,Severe,Y
22,1,2022-05-03,17,29,Moderate,N
23,1,2022-05-04,42,25,Normal,N
24,1,2022-05-05,73,39,Normal,N
25,1,2022-05-06,34,24,Normal,N
26,1,2022-05-07,19,38,Severe,Y
27,1,2022-05-08,77,33,Moderate,N
28,1,2022-05-09,42,25,Normal,N
29,1,2022-05-10,62,25,Moderate,N
30,1,2022-05-11,77,33,Moderate,N
31,1,2022-05-12,8,36,Normal,N
32,1,2022-05-13,20,37,Normal,N
33,1,2022-05-14,17,43,Normal,N
34,1,2022-05-15,122,34,Moderate,N
35,1,2022-05-16,7,38,Moderate,N
36,1,2022-05-17,66,26,Normal,N
37,1,2022-05-18,7,24,Moderate,N
38,1,2022-05-19,93,35,Severe,Y
39,1,2022-05-20,139,39,Severe,Y
40,1,2022-05-21,36,42,Severe,Y
41,1,2022-05-22,122,25,Normal,N
42,1,2022-05-23,8,42,Normal,N
43,1,2022-05-24,140,35,Severe,Y
44,1,2022-05-25,78,39,Moderate,N
45,1,2022-05-26,22,32,Normal,N
46,1,2022-05-27,89,42,Normal,N
47,1,2022-05-28,2,31,Normal,N
48,1,2022-05-29,140,24,Normal,N
49,1,2022-05-30,75,32,Moderate,N
50,1,2022-05-31,79,40,Normal,N
51,1,2022-06-01,121,36,Normal,N
52,1,2022-06-02,16,43,Normal,N
53,1,2022-06-03,56,25,Normal,N
54,1,2022-06-04,23,34,Normal,N
55,1,2022-06-05,114,27,Normal,N
56,1,2022-06-06,104,34,Moderate,N
57,1,2022-06-07,135,42,Normal,N
58,1,2022-06-08,126,28,Normal,N
59,1,2022-06-09,54,40,Normal,N
60,1,2022-06-10,87,40,Normal,N
61,1,2022-06-11,99,35,Normal,N
62,1,2022-06-12,70,31,Severe,Y
63,1,2022-06-13,71,37,Normal,N
64,1,2022-06-14,13,38,Moderate,N
65,1,2022-06-15,51,37,Normal,N
66,1,2022-06-16,79,25,Moderate,N
67,1,2022-06-17,10,37,Moderate,N
68,1,2022-06-18,21,24,Normal,N
69,1,2022-06-19,55,27,Normal,N
70,1,2022-06-20,106,38,Normal,N
71,1,2022-06-21,115,30,Normal,N
72,1,2022-06-22,139,24,Normal,N
73,1,2022-06-23,85,37,Moderate,N
74,1,2022-06-24,113,37,Normal,N
75,1,2022-06-25,9,33,Normal,N
76,1,2022-06-26,130,31,Normal,N
77,1,2022-06-27,111,27,Severe,Y
78,1,2022-06-28,4,24,Normal,N
79,1,2022-06-29,108,26,Normal,N
80,1,2022-06-30,131,34,Severe,Y
81,1,2022-07-01,15,39,Moderate,N
82,1,2022-07-02,41,36,Normal,N
83,1,2022-07-03,92,40,Severe,Y
84,1,2022-07-04,15,26,Moderate,N
85,1,2022-07-05,42,39,Normal,N
86,1,2022-07-06,113,29,Moderate,N
87,1,2022-07-07,107,36,Severe,Y
88,1,2022-07-08,39,30,Moderate,N
89,1,2022-07-09,86,40,Moderate,N
90,1,2022-07-10,102,40,Normal,N
91,1,2022-07-11,89,34,Normal,N
92,1,2022-07-12,72,27,Moderate,N
93,1,2022-07-13,56,26,Normal,N
94,1,2022-07-14,84,24,Normal,N
95,1,2022-07-15,121,36,Normal,N
96,1,2022-07-16,51,41,Normal,N
97,1,2022-07-17,60,27,Normal,N
98,1,2022-07-18,62,24,Normal,N
99,1,2022-07-19,87,35,Normal,N
100,1,2022-07-20,105,36,Moderate,N
101,1,2022-07-21,88,25,Normal,N
102,1,2022-07-22,79,31,Normal,N
103,1,2022-07-23,88,29,Normal,N
104,1,2022-07-24,66,34,Normal,N
105,1,2022-07-25,15,24,Normal,N
106,1,2022-07-26,133,32,Normal,N
107,1,2022-07-27,73,37,Moderate,N
108,1,2022-07-28,125,41,Moderate,N
109,1,2022-07-29,87,40,Normal,N
110,1,2022-07-30,11,36,Normal,N
111,1,2022-07-31,4,29,Normal,N
112,1,2022-08-01,72,43,Normal,N
113,1,2022-08-02,31,24,Normal,N
114,1,2022-08-03,26,27,Moderate,N
115,1,2022-08-04,140,30,Moderate,N
116,1,2022-08-05,111,39,Moderate,N
117,1,2022-08-06,100,27,Normal,N
118,1,2022-08-07,130,40,Normal,N
119,1,2022-08-08,72,37,Normal,N
120,1,2022-08-09,12,33,Moderate,N
121,1,2022-08-10,91,28,Moderate,N
122,1,2022-08-11,50,37,Normal,N
123,1,2022-08-12,126,35,Moderate,N
124,1,2022-08-13,55,27,Normal,N
125,1,2022-08-14,1,43,Normal,N
126,1,2022-08-15,134,31,Normal,N
127,1,2022-08-16,19,34,Normal,N
128,1,2022-08-17,119,30,Normal,N
129,1,2022-08-18,12,26,Moderate,N
130,1,2022-08-19,19,24,Normal,N
131,1,2022-08-20,2,34,Normal,N
132,1,2022-08-21,16,25,Severe,Y
133,1,2022-08-22,62,33,Normal,N
134,1,2022-08-23,52,41,Normal,N
135,1,2022-08-24,33,35,Normal,N
