weather_id,project_id,date,rainfall_mm,temperature_c,weather_severity,work_stop_flag,work_stopped,severity_score,heavy_rainfall_flag,extreme_temp_flag
1,1,2022-04-12,7.00,26.00,Normal,N,0,1,0,0
2,1,2022-04-13,72.00,30.00,Moderate,N,0,2,0,0
3,1,2022-04-14,17.00,25.00,Normal,N,0,1,0,0
4,1,2022-04-15,85.00,27.00,Moderate,N,0,2,0,0
5,1,2022-04-16,62.00,33.00,Normal,N,0,1,0,0
6,1,2022-04-17,82.00,43.00,Moderate,N,0,2,0,1
7,1,2022-04-18,88.00,38.00,Normal,N,0,1,0,0
8,1,2022-04-19,57.00,37.00,Normal,N,0,1,0,0
9,1,2022-04-20,79.00,41.00,Normal,N,0,1,0,1
10,1,2022-04-21,92.00,32.00,Moderate,N,0,2,0,0
11,1,2022-04-22,85.00,40.00,Normal,N,0,1,0,0
12,1,2022-04-23,54.00,37.00,Normal,N,0,1,0,0
13,1,2022-04-24,127.00,42.00,Normal,N,0,1,1,1
14,1,2022-04-25,89.00,26.00,Normal,N,0,1,0,0
15,1,2022-04-26,92.00,24.00,Normal,N,0,1,0,0
16,1,2022-04-27,47.00,26.00,Normal,N,0,1,0,0
17,1,2022-04-28,87.00,32.00,Normal,N,0,1,0,0
18,1,2022-04-29,1.00,29.00,Normal,N,0,1,0,0
19,1,2022-04-30,81.00,29.00,Normal,N,0,1,0,0
20,1,2022-05-01,97.00,32.00,Normal,N,0,1,0,0
21,1,2022-05-02,21.00,34.00,Severe,Y,1,3,0,0
22,1,2022-05-03,17.00,29.00,Moderate,N,0,2,0,0
23,1,2022-05-04,42.00,25.00,Normal,N,0,1,0,0
24,1,2022-05-05,73.00,39.00,Normal,N,0,1,0,0
25,1,2022-05-06,34.00,24.00,Normal,N,0,1,0,0
26,1,2022-05-07,19.00,38.00,Severe,Y,1,3,0,0
27,1,2022-05-08,77.00,33.00,Moderate,N,0,2,0,0
28,1,2022-05-09,42.00,25.00,Normal,N,0,1,0,0
29,1,2022-05-10,62.00,25.00,Moderate,N,0,2,0,0
30,1,2022-05-11,77.00,33.00,Moderate,N,0,2,0,0
31,1,2022-05-12,8.00,36.00,Normal,N,0,1,0,0
32,1,2022-05-13,20.00,37.00,Normal,N,0,1,0,0
33,1,2022-05-14,17.00,43.00,Normal,N,0,1,0,1
34,1,2022-05-15,122.00,34.00,Moderate,N,0,2,1,0
35,1,2022-05-16,7.00,38.00,Moderate,N,0,2,0,0
36,1,2022-05-17,66.00,26.00,Normal,N,0,1,0,0
37,1,2022-05-18,7.00,24.00,Moderate,N,0,2,0,0
38,1,2022-05-19,93.00,35.00,Severe,Y,1,3,0,0
39,1,2022-05-20,139.00,39.00,Severe,Y,1,3,1,0
40,1,2022-05-21,36.00,42.00,Severe,Y,1,3,0,1
41,1,2022-05-22,122.00,25.00,Normal,N,0,1,1,0
42,1,2022-05-23,8.00,42.00,Normal,N,0,1,0,1
43,1,2022-05-24,140.00,35.00,Severe,Y,1,3,1,0
44,1,2022-05-25,78.00,39.00,Moderate,N,0,2,0,0
45,1,2022-05-26,22.00,32.00,Normal,N,0,1,0,0
46,1,2022-05-27,89.00,42.00,Normal,N,0,1,0,1
47,1,2022-05-28,2.00,31.00,Normal,N,0,1,0,0
48,1,2022-05-29,140.00,24.00,Normal,N,0,1,1,0
49,1,2022-05-30,75.00,32.00,Moderate,N,0,2,0,0
50,1,2022-05-31,79.00,40.00,Normal,N,0,1,0,0
51,1,2022-06-01,121.00,36.00,Normal,N,0,1,1,0
